KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AFAP_CMJ1	24-3-2025	14:55:22:614	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
57	1004.162343	0.107422	0.096387	-0.490664	0.115382	0.095384	-0.150439	0.130227	0.503385	-0.460537	0.124590	0.508689	-0.196926	0.150631	0.865412	-0.454863	0.162985	0.868265	-0.226698	1.810000	102.075672	
58	1001.652858	0.107802	0.096604	-0.490078	0.115289	0.095592	-0.150194	0.129573	0.503611	-0.459392	0.124384	0.508959	-0.196184	0.151905	0.865521	-0.453566	0.162615	0.868605	-0.225317	1.810000	102.075672	
59	1004.102478	0.108008	0.096460	-0.489786	0.115260	0.095710	-0.149873	0.128381	0.503555	-0.459276	0.124261	0.509126	-0.195423	0.152496	0.865345	-0.453138	0.162502	0.868746	-0.224862	1.810000	102.075672	
60	1000.468079	0.107596	0.096190	-0.490134	0.115193	0.095593	-0.149738	0.127619	0.503313	-0.459699	0.124290	0.509012	-0.195233	0.152300	0.865061	-0.453299	0.162793	0.868573	-0.225052	1.810000	102.075672	
61	1001.124438	0.106656	0.095939	-0.491041	0.115085	0.095223	-0.149792	0.127685	0.502987	-0.460276	0.124405	0.508591	-0.195702	0.151453	0.864796	-0.453907	0.163290	0.868094	-0.225725	1.810000	102.075672	
62	1001.083478	0.105852	0.095761	-0.491973	0.115052	0.094713	-0.149788	0.128360	0.502691	-0.460726	0.124401	0.507997	-0.196434	0.150343	0.864623	-0.454972	0.163428	0.867452	-0.226847	1.810000	102.075672	
63	1000.343540	0.105635	0.095679	-0.492474	0.115141	0.094213	-0.149591	0.129280	0.502516	-0.460901	0.124161	0.507404	-0.197119	0.149350	0.864577	-0.456351	0.162883	0.866830	-0.228242	1.810000	102.075672	
64	1002.362349	0.105695	0.095662	-0.492582	0.115173	0.093974	-0.149357	0.129761	0.502462	-0.460821	0.123832	0.507088	-0.197619	0.148786	0.864592	-0.457406	0.162118	0.866514	-0.229285	1.810000	102.075672	
65	1000.920169	0.105618	0.095679	-0.492452	0.114964	0.094219	-0.149304	0.129175	0.502495	-0.460491	0.123607	0.507298	-0.197870	0.148911	0.864590	-0.457482	0.161699	0.866762	-0.229335	1.810000	102.075672	
66	1000.363118	0.105438	0.095709	-0.492131	0.114639	0.094790	-0.149384	0.127941	0.502588	-0.460225	0.123593	0.507867	-0.197911	0.149567	0.864570	-0.456627	0.161750	0.867404	-0.228454	1.810000	102.075672	
