,Person 1,Height (m),1.85,Frequency (Hz),1000
,Fz,Weight (N),845.162,,
,N,,,N*-1,
895,-857.272,,,857.272,
896,-856.347,,,856.347,
897,-857.257,,,857.257,
898,-856.517,,,856.517,
899,-857.428,,,857.428,
900,-857.241,,,857.241,
901,-857.782,,,857.782,
902,-857.043,,,857.043,
903,-858.323,,,858.323,
904,-858.32,,,858.32,
905,-857.768,,,857.768,
906,-857.574,,,857.574,
907,-857.392,,,857.392,
908,-858.307,,,858.307,
909,-857.385,,,857.385,
910,-857.749,,,857.749,
911,-857.566,,,857.566,
912,-857.196,,,857.196,
913,-857.191,,,857.191,
914,-857.739,,,857.739,
915,-857.188,,,857.188,
916,-857.918,,,857.918,
917,-857.732,,,857.732,
918,-857.911,,,857.911,
919,-857.728,,,857.728,
920,-858.095,,,858.095,
921,-857.727,,,857.727,
922,-857.177,,,857.177,
923,-858.088,,,858.088,
924,-858.279,,,858.279,
925,-857.907,,,857.907,
926,-858.64,,,858.64,
927,-858.086,,,858.086,
928,-857.901,,,857.901,
929,-857.906,,,857.906,
930,-858.271,,,858.271,
931,-857.723,,,857.723,
932,-858.64,,,858.64,
933,-858.822,,,858.822,
934,-858.822,,,858.822,
935,-859.919,,,859.919,
936,-858.271,,,858.271,
937,-859.007,,,859.007,
938,-859.192,,,859.192,
939,-859.189,,,859.189,
940,-859.739,,,859.739,
941,-859.557,,,859.557,
942,-859.562,,,859.562,
943,-859.928,,,859.928,
944,-860.294,,,860.294,
945,-860.111,,,860.111,
946,-860.112,,,860.112,
947,-860.846,,,860.846,
948,-860.294,,,860.294,
949,-860.848,,,860.848,
950,-860.299,,,860.299,
951,-860.3,,,860.3,
952,-861.036,,,861.036,
953,-861.397,,,861.397,
954,-861.214,,,861.214,
955,-861.036,,,861.036,
956,-861.218,,,861.218,
957,-861.588,,,861.588,
958,-861.409,,,861.409,
959,-862.874,,,862.874,
960,-861.23,,,861.23,
961,-861.965,,,861.965,
962,-861.784,,,861.784,
963,-861.971,,,861.971,
964,-861.975,,,861.975,
965,-861.979,,,861.979,
966,-862.165,,,862.165,
967,-862.352,,,862.352,
968,-861.8,,,861.8,
969,-862.543,,,862.543,
970,-861.444,,,861.444,
971,-862,,,862,
972,-863.099,,,863.099,
973,-862.189,,,862.189,
974,-862.561,,,862.561,
975,-862.195,,,862.195,
976,-862.754,,,862.754,
977,-862.566,,,862.566,
978,-862.753,,,862.753,
979,-863.308,,,863.308,
980,-862.946,,,862.946,
981,-862.946,,,862.946,
982,-863.137,,,863.137,
983,-863.506,,,863.506,
